Localidad;Hora;"IAQ-Fachada Norte (BA)-2BABsDaA [ppm]";"IAQ-Fachada Norte (BA)-2BABsDaA [°C]";"IAQ-Fachada Norte (BA)-2BABsDaA [%HR]";"IAQ-Fachada Norte (BA)-2BABsDaA [g/m³]";"THL-Fachada Norte (BA)-2BABsDaI [mW/m²]"
"Grupo de puntos de medición";;;;;;
Rango;;;;;;
"Límite inferior";;;;;;
"Límite superior";;;;;;
Promedio;;514;24,6;68,8;15,5;0,0
"Valor mínimo";;447;23,8;61,3;14,7;0,0
"Valor máximo";;721;25,8;72,7;15,8;0,0
26/09/24;00:00:00;470;24,1;71,9;15,8;0,0
26/09/24;00:15:00;463;24,1;72,1;15,8;0,0
26/09/24;00:30:00;456;24,1;72,2;15,8;0,0
26/09/24;00:45:00;455;24,1;72,2;15,8;0,0
26/09/24;01:00:00;456;24,1;72,2;15,8;0,0
26/09/24;01:15:00;461;24,1;72,1;15,8;0,0
26/09/24;01:30:00;457;24,0;72,2;15,8;0,0
26/09/24;01:45:00;447;24,1;72,2;15,8;0,0
26/09/24;02:00:00;460;24,1;72,3;15,8;0,0
26/09/24;02:15:00;458;24,0;72,3;15,8;0,0
26/09/24;02:30:00;455;24,0;72,5;15,8;0,0
26/09/24;02:45:00;456;24,0;72,5;15,8;0,0
26/09/24;03:00:00;462;23,9;72,5;15,8;0,0
26/09/24;03:15:00;460;24,0;72,5;15,8;0,0
26/09/24;03:30:00;460;23,9;72,5;15,7;0,0
26/09/24;03:45:00;453;23,9;72,5;15,7;0,0
26/09/24;04:00:00;464;23,9;72,6;15,7;0,0
26/09/24;04:15:00;467;23,8;72,6;15,7;0,0
26/09/24;04:30:00;454;23,8;72,7;15,7;0,0
26/09/24;04:45:00;469;23,8;72,6;15,7;0,0
26/09/24;05:00:00;461;23,8;72,5;15,7;0,0
26/09/24;05:15:00;472;23,8;72,3;15,6;0,0
26/09/24;05:30:00;472;23,8;72,3;15,6;0,0
26/09/24;05:45:00;464;23,8;72,4;15,6;0,0
26/09/24;06:00:00;471;23,8;72,3;15,6;0,0
26/09/24;06:15:00;462;23,9;72,1;15,6;0,0
26/09/24;06:30:00;468;23,9;71,8;15,6;0,0
26/09/24;06:45:00;479;23,9;71,3;15,5;0,0
26/09/24;07:00:00;470;24,0;70,8;15,4;0,0
26/09/24;07:15:00;475;24,1;70,6;15,4;0,0
26/09/24;07:30:00;476;24,1;69,7;15,3;0,0
26/09/24;07:45:00;471;24,2;69,6;15,4;0,0
26/09/24;08:00:00;490;24,3;69,1;15,4;0,0
26/09/24;08:15:00;492;24,4;69,0;15,4;0,0
26/09/24;08:30:00;515;24,5;68,5;15,4;0,0
26/09/24;08:45:00;520;24,6;67,8;15,3;0,0
26/09/24;09:00:00;539;24,7;67,1;15,2;0,0
26/09/24;09:15:00;564;24,9;66,5;15,2;0,0
26/09/24;09:30:00;570;24,9;65,9;15,1;0,0
26/09/24;09:45:00;571;24,9;65,7;15,1;0,0
26/09/24;10:00:00;584;24,9;65,5;15,0;0,0
26/09/24;10:15:00;591;25,1;65,2;15,1;0,0
26/09/24;10:30:00;591;25,1;65,4;15,2;0,0
26/09/24;10:45:00;579;25,1;64,8;15,1;0,0
26/09/24;11:00:00;577;25,2;63,9;14,9;0,0
26/09/24;11:15:00;575;25,3;63,6;14,9;0,0
26/09/24;11:30:00;560;25,4;63,1;14,9;0,0
26/09/24;11:45:00;564;25,5;62,5;14,8;0,0
26/09/24;12:00:00;554;25,6;62,3;14,8;0,0
26/09/24;12:15:00;530;25,6;61,8;14,7;0,0
26/09/24;12:30:00;531;25,6;61,6;14,7;0,0
26/09/24;12:45:00;518;25,7;61,3;14,7;0,0
26/09/24;13:00:00;520;25,7;61,4;14,7;0,0
26/09/24;13:15:00;519;25,8;61,5;14,8;0,0
26/09/24;13:30:00;533;25,8;61,7;14,9;0,0
26/09/24;13:45:00;542;25,8;62,2;15,0;0,0
26/09/24;14:00:00;588;25,8;63,1;15,2;0,0
26/09/24;14:15:00;598;25,8;63,9;15,4;0,0
26/09/24;14:30:00;618;25,7;64,3;15,5;0,0
26/09/24;14:45:00;675;25,7;64,6;15,5;0,0
26/09/24;15:00:00;659;25,6;64,8;15,5;0,0
26/09/24;15:15:00;666;25,5;64,9;15,4;0,0
26/09/24;15:30:00;721;25,5;65,8;15,6;0,0
26/09/24;15:45:00;673;25,4;66,2;15,6;0,0
26/09/24;16:00:00;669;25,2;67,1;15,7;0,0
26/09/24;16:15:00;616;25,0;67,5;15,6;0,0
26/09/24;16:30:00;625;25,0;68,1;15,7;0,0
26/09/24;16:45:00;567;24,9;68,1;15,6;0,0
26/09/24;17:00:00;542;24,8;68,4;15,6;0,0
26/09/24;17:15:00;536;24,7;68,6;15,6;0,0
26/09/24;17:30:00;526;24,7;68,8;15,6;0,0
26/09/24;17:45:00;523;24,6;69,0;15,6;0,0
26/09/24;18:00:00;508;24,6;69,1;15,6;0,0
26/09/24;18:15:00;503;24,6;69,2;15,6;0,0
26/09/24;18:30:00;500;24,5;69,3;15,6;0,0
26/09/24;18:45:00;501;24,5;69,5;15,6;0,0
26/09/24;19:00:00;501;24,5;69,4;15,6;0,0
26/09/24;19:15:00;501;24,5;69,5;15,6;0,0
26/09/24;19:30:00;491;24,5;69,7;15,6;0,0
26/09/24;19:45:00;489;24,4;69,9;15,6;0,0
26/09/24;20:00:00;483;24,4;70,1;15,6;0,0
26/09/24;20:15:00;487;24,4;70,2;15,6;0,0
26/09/24;20:30:00;482;24,4;70,5;15,7;0,0
26/09/24;20:45:00;478;24,3;70,6;15,7;0,0
26/09/24;21:00:00;470;24,3;70,7;15,7;0,0
26/09/24;21:15:00;473;24,3;70,7;15,7;0,0
26/09/24;21:30:00;487;24,3;70,8;15,7;0,0
26/09/24;21:45:00;466;24,2;70,7;15,6;0,0
26/09/24;22:00:00;480;24,2;70,8;15,6;0,0
26/09/24;22:15:00;480;24,2;70,6;15,6;0,0
26/09/24;22:30:00;479;24,2;70,6;15,6;0,0
26/09/24;22:45:00;477;24,2;70,7;15,6;0,0
26/09/24;23:00:00;479;24,2;70,5;15,5;0,0
26/09/24;23:15:00;487;24,1;70,6;15,5;0,0
26/09/24;23:30:00;477;24,1;70,8;15,5;0,0
26/09/24;23:45:00;474;24,0;70,8;15,5;0,0
27/09/24;00:00:00;478;24,1;70,8;15,5;0,0
